bench_complex_set_with_smaller	fee: 50521	calldata: 476257
bench_complex_check	fee: 60927	calldata: 252011, 5, 13
bench_complex_get_minimal	fee: 60841	calldata: 712198621
bench_complex_get	fee: 60824	calldata: 527461
bench_complex_set_with_smaller	fee: 50521	calldata: 536341
bench_complex_update_minimal	fee: 94109	calldata: 737263493
bench_complex_update_minimal_nested	fee: 94317	calldata: 4
bench_complex_set_with_smaller	fee: 50521	calldata: 141664
bench_complex_check	fee: 60926	calldata: 524767, 3, 9
bench_complex_get_minimal	fee: 60841	calldata: 975130152
bench_complex_get	fee: 60824	calldata: 323345
bench_complex_set_with_smaller	fee: 50521	calldata: 450106
bench_complex_update_minimal	fee: 94109	calldata: 846368225
bench_complex_update_minimal_nested	fee: 94317	calldata: 0
bench_complex_set_with_smaller	fee: 50521	calldata: 222416
bench_complex_check	fee: 60927	calldata: 227416, 4, 17
bench_complex_get	fee: 60824	calldata: 074341
bench_complex_get_minimal	fee: 60841	calldata: 857954529
bench_complex_set_with_smaller	fee: 50521	calldata: 145341
bench_complex_update_minimal	fee: 94109	calldata: 260218672
bench_complex_update_minimal_nested	fee: 94317	calldata: 4
bench_complex_set_with_smaller	fee: 50521	calldata: 717526
bench_complex_check	fee: 60927	calldata: 334567, 5, 15
bench_complex_get	fee: 60824	calldata: 243317
bench_complex_get_minimal	fee: 60841	calldata: 761138156
bench_complex_set_with_smaller	fee: 50521	calldata: 321724
bench_complex_update_minimal	fee: 94109	calldata: 689989360
bench_complex_set_with_smaller	fee: 50521	calldata: 746072
bench_complex_update_minimal_nested	fee: 94317	calldata: 6
bench_complex_check	fee: 60924	calldata: 753463, 1, 19
bench_complex_get	fee: 60824	calldata: 176170
bench_complex_get_minimal	fee: 60841	calldata: 265441633
bench_complex_set_with_smaller	fee: 50521	calldata: 452521
bench_complex_update_minimal	fee: 94109	calldata: 052375739
bench_complex_set_with_smaller	fee: 50521	calldata: 656450
bench_complex_update_minimal_nested	fee: 94317	calldata: 3
bench_complex_check	fee: 60923	calldata: 371326, 0, 14
bench_complex_get	fee: 60824	calldata: 721120
bench_complex_get_minimal	fee: 60841	calldata: 720932880
bench_complex_set_with_smaller	fee: 50521	calldata: 070502
bench_complex_update_minimal	fee: 94109	calldata: 442725405
bench_complex_set_with_smaller	fee: 50521	calldata: 732706
bench_complex_update_minimal_nested	fee: 94317	calldata: 2
bench_complex_check	fee: 60924	calldata: 066502, 1, 4
bench_complex_get	fee: 60824	calldata: 352116
